Sample,Depth below surface (m).x,Water (%)#,Environmental dose rate (Gy/kyr),...5,...6,...7,De value (Gy)$,Number of grains*,OD (%)&,osl_age.x,other1,osl_error.x,other2,Depth below surface (m).y,Water (%),EDR_Beta,EDR_Gamma,EDR_Cosmic,EDR_total,De value (Gy),Number of grains,OD (%),Age (ka),Sample.y,upper,lower,Elevation,Easting,Northing,year,X,Y,Xnew,Ynew,Xnew_flipped,Description,type,square,spit,cnr,find,findn,depth_below_ground_surface,total_station_depth_below_surf,osl_age.y,osl_error.y,osl_age,osl_error
NA,NA,NA,Beta,Gamma,Cosmic,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW8,1.53,4.7,0.33 ± 0.02,0.38 ± 0.02,7.8E-2,0.82 ± 0.03,23.2 ± 0.4,225/500 (187),21 ± 1,28.1,±,1.4,(1.1),-1.53,4.7,0.33 ± 0.02,0.31 ± 0.01,0.078,0.75 ± 0.03,23.2 ± 0.4,225/500 (187),21 ± 1,31.0 ± 1.6,NA,NA,NA,99.159538,4998.944157,5012.707351,2012,-0.24464593936590973,0.3029163408864406,-0.38784512975190044,0.03443981056844175,0.38784512975190044,OSL_NW8,OSL,NW8,NA,NA,,,1.5336750000000023,-1.533675,31,1.6,28.1,1.4
SW6B,1.47,<1,0.29 ± 0.03,0.37 ± 0.02,0.08,0.77 ± 0.04,23.4 ± 0.5,206/500 (171),24 ± 2,30.4,±,1.7,(1.4),-1.47,<1,0.29 ± 0.03,0.37 ± 0.02,0.080,0.77 ± 0.04,23.4 ± 0.5,206/500 (171),24 ± 2,30.4 ± 1.7,NA,NA,NA,99.225655,4997.334226,5012.233577,2015,-1.8545769393658702,-0.17085765911360795,-1.165392680197618,-1.4527587083364095,1.165392680197618,OSL_SW_6B,OSL,SW,6B,NA,,,1.4675579999999968,-1.467558,30.4,1.7,30.4,1.7
KTL165,1.47,—,0.39 ± 0.05,0.46 ± 0.05,7.0000000000000007E-2,0.95 ± 0.10,21.4 ± 0.6,142/300 (114),29 ± 2,22.5,±,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47,NA,NA,22.5,2.6
SW6A,1.41,1.3,0.29 ± 0.02,0.37 ± 0.02,7.0000000000000007E-2,0.76 ± 0.03,20.8 ± 0.4,140/300 (113),21 ± 2,27.3,±,1.4,(1.1),-1.41,1.3,0.29 ± 0.02,0.37 ± 0.01,0.070,0.76 ± 0.03,20.8 ± 0.4,140/300 (113),21 ± 2,27.3 ± 1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41,27.3,1.4,27.3,1.4
NW7,1.34,4.5999999999999996,0.33 ± 0.02,0.38 ± 0.02,7.9000000000000001E-2,0.82 ± 0.03,19.5 ± 0.3,221/500 (184),23 ± 1,23.8,±,1.1,(0.9),-1.34,4.6,0.26 ± 0.02,0.30 ± 0.01,0.079,0.67 ± 0.03,19.5 ± 0.3,221/500 (184),23 ± 1,29.1 ± 1.5,NA,NA,NA,99.356003,4998.975225,5012.703133,2012,-0.2135779393656776,0.29869834088640346,-0.36322930822046395,0.05385819047890808,0.36322930822046395,OSL_NW7,OSL,NW7,NA,NA,,,1.337209999999999,-1.33721,29.1,1.5,23.8,1.1
SW5B,1.25,<1,0.27 ± 0.02,0.37 ± 0.02,8.3000000000000004E-2,0.75 ± 0.03,17.3 ± 0.6,182/400 (166),42 ± 2,23.0,±,1.3,(1.0),-1.25,<1,0.27 ± 0.02,0.30 ± 0.01,0.083,0.68 ± 0.03,17.3 ± 0.6,182/400 (166),42 ± 2,25.5 ± 1.5,NA,NA,NA,99.441247,4997.338968,5012.222162,2015,-1.8498349393657918,-0.18227265911355062,-1.1538873463840225,-1.457277124301897,1.1538873463840225,OSL_SW_5B,OSL,SW,5B,NA,,,1.251965999999996,-1.251966,25.5,1.5,23,1.3
SW5A,1.22,2.5,0.31 ± 0.02,0.37 ± 0.02,7.1999999999999995E-2,0.79 ± 0.03,17.4 ± 0.4,163/400 (134),23 ± 2,22.0,±,1.1,(0.8),-1.22,2.5,0.31 ± 0.02,0.37 ± 0.01,0.072,0.78 ± 0.03,17.4 ± 0.4,163/400 (134),23 ± 2,22.3 ± 1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22,22.3,1.1,22,1.1
NW6,1.16,<1,0.29 ± 0.02,0.37 ± 0.02,8.1000000000000003E-2,0.77 ± 0.03,16.3 ± 0.3,249/500 (201),23 ± 1,21.2,±,1.0,(0.7),-1.16,<1,0.29 ± 0.02,0.30 ± 0.01,0.081,0.72 ± 0.03,16.3 ± 0.3,249/500 (201),23 ± 1,22.7 ± 1.1,NA,NA,NA,99.537674,4998.992773,5012.711625,2012,-0.19602993936587154,0.30719034088633634,-0.35714807672021176,0.07238020417700239,0.35714807672021176,OSL_NW6,OSL,NW6,NA,NA,,,1.1555390000000045,-1.155539,22.7,1.1,21.2,1
SW4B,1.04,<1,0.25 ± 0.02,0.35 ± 0.02,8.5000000000000006E-2,0.72 ± 0.03,10.5 ± 0.3,144/300 (122),28 ± 2,14.7,±,0.8,(0.6),-1.04,<1,0.25 ± 0.02,0.28 ± 0.01,0.085,0.64 ± 0.03,10.5 ± 0.3,144/300 (122),28 ± 2,16.4 ± 0.9,NA,NA,NA,99.650174,4997.312304,5012.220947,2015,-1.8764989393657743,-0.18348765911377996,-1.1715357193163527,-1.477301610658381,1.1715357193163527,OSL_SW_4B,OSL,SW,4B,NA,,,1.0430389999999932,-1.04303899999999,16.4,0.9,14.7,0.8
SW4A,1.04,<1,0.22 ± 0.02,0.26 ± 0.01,7.2999999999999995E-2,0.58 ± 0.03,8.7 ± 0.2,177/400 (151),29 ± 2,14.9,±,0.9,(0.7),-1.04,<1,0.22 ± 0.02,0.26 ± 0.01,0.073,0.58 ± 0.03,8.7 ± 0.2,177/400 (151),29 ± 2,14.9 ± 0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04,14.9,0.9,14.9,0.9
